id;code;merchant_secret;name;credit_limit;is_active;phone;address_line_1;address_line_2;city;country;percentage;credit_score;email;rating;lead_time;is_sand_box;store_description;store_secondary_description
1;ROI;e-business;Music Manager bypass;22963;false;230-744-6629;quantifying quantifying Distributed;indigo;Philadelphia;Bangladesh;6493;36820;"#@#7CJ.+#X3P_";89492;70034;false;copy override;innovative Steel Fantastic
2;microchip;Salvador face Direct;card Springs synthesize;51979;true;968-767-2990;transmitter copying Investment;plum Secured Security;West Haven;Hong Kong;24033;88193;"h1@:?%.]ro";6882;98509;false;Handcrafted Checking;Concrete Plains Analyst
3;Bacon optimal Representative;markets XSS Colorado;hacking array;94304;false;531.797.2715;optical niches Frozen;ivory Benin;Goyetteside;Brazil;47551;10096;"Y@.m/Zt<.B";3320;5611;false;Sahara;lime
4;alarm SDD;Electronics indexing background;Wisconsin withdrawal;7744;false;(333) 706-0689 x337;Indiana;Tuna Locks;West Santos;Jordan;8484;57873;"K7@4.OheEC";93876;19750;true;Books Cheese;strategic magenta
5;red morph;Designer;Berkshire Savings yellow;74983;true;501-728-8513 x024;payment;calculating Quality interactive;Bonnieport;Turks and Caicos Islands;52842;68907;"n[m@`.|D:1";49920;69587;true;transmitter Mouse invoice;Computers Cambridgeshire integrate
6;sky;tan Minnesota;Account cyan Beauty;80962;false;(252) 543-7863 x2667;Junctions;Infrastructure Licensed withdrawal;Lake Lilatown;Cayman Islands;35770;83443;"(n@cyPnK5..7";25286;48708;false;AGP;generate envisioneer
7;Borders Kroon stable;Representative JSON Intelligent;Avon;74403;false;838.347.8685 x6836;Baby gold;CFA quantifying Music;East Gretchenbury;Angola;55444;55660;"ZF={xT@&V/.5(9D";19807;78785;true;open-source Soft Loan;Car Handcrafted
8;blue copying Market;motivating utilize;deposit Credit Shores;95672;true;996.982.8363;Bedfordshire red Architect;Electronics;Hampton;Bhutan;78173;65182;"|v[@_+o.B5(2v]";92155;99634;true;Kids asymmetric;mobile Alaska
9;Enterprise-wide invoice Ball;Strategist Concrete compressing;Maryland;50043;true;229.448.8530;sticky;online reintermediate;South Jordan;Macedonia;60675;53545;"[eyn@[aXW[{.?";8164;75948;true;Kansas Beauty transmitter;SQL cultivate middleware
10;Total RSS;EXE synthesize;Handcrafted Intuitive;81739;true;(986) 688-4653;override;THX;Harberton;Costa Rica;88230;45678;"rl-Y@1)w0.H'";97705;10585;true;Account;Home Montana
